datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu
2020-01-27,0,0,0,20
2020-01-28,0,0,0,28
2020-01-29,0,0,0,33
2020-01-30,0,0,0,34
2020-01-31,0,0,0,37
2020-02-01,0,0,0,38
2020-02-02,0,0,0,43
2020-02-03,0,0,0,48
2020-02-04,0,0,0,53
2020-02-05,0,0,0,53
2020-02-06,0,0,0,56
2020-02-07,0,0,0,62
2020-02-08,0,0,0,62
2020-02-09,0,0,0,64
2020-02-10,0,0,0,72
2020-02-11,0,0,0,74
2020-02-12,0,0,0,75
2020-02-13,0,0,0,76
2020-02-14,0,0,0,76
2020-02-15,0,0,0,77
2020-02-16,0,0,0,78
2020-02-17,0,0,0,80
2020-02-18,0,0,0,80
2020-02-19,0,0,0,82
2020-02-20,0,0,0,82
2020-02-21,0,0,0,82
2020-02-22,0,0,0,83
2020-02-23,0,0,0,86
2020-02-24,0,0,0,98
2020-02-25,0,0,0,112
2020-02-26,0,0,0,135
2020-02-27,0,0,0,170
2020-02-28,0,0,0,193
2020-02-29,0,0,0,200
2020-03-01,3,0,0,211
2020-03-02,3,0,0,262
2020-03-03,5,0,0,340
2020-03-04,6,0,0,407
2020-03-05,9,0,0,483
2020-03-06,20,0,0,594
2020-03-07,27,0,0,787
2020-03-08,33,0,0,928
2020-03-09,39,0,0,1193
2020-03-10,64,0,0,1358
2020-03-11,95,0,0,1816
2020-03-12,117,0,0,2353
2020-03-13,142,0,0,3198
2020-03-14,190,1,0,4184
2020-03-15,299,5,0,5212
2020-03-16,384,5,0,6531
2020-03-17,451,5,0,7825
2020-03-18,561,5,0,9581
2020-03-19,767,6,0,11840
2020-03-20,891,9,0,13961
2020-03-21,1050,14,0,15843
2020-03-22,1165,14,1,17644
2020-03-23,1291,18,1,19935
2020-03-24,1476,22,3,22997
2020-03-25,1768,26,10,27104
2020-03-26,2027,35,10,31737
2020-03-27,2404,50,12,37096
2020-03-28,2667,56,17,41320
2020-03-29,2826,71,23,44168
2020-03-30,3010,99,28,49327
2020-03-31,3314,120,35,55988
2020-04-01,3597,164,43,62090
2020-04-02,3865,202,49,68763
2020-04-03,4198,267,57,76161
2020-04-04,4481,311,66,81998
2020-04-05,4598,352,74,86810
2020-04-06,4834,451,82,93245
2020-04-07,5030,573,92,101418
2020-04-08,5324,684,107,109887
2020-04-09,5581,866,117,118067
2020-04-10,5744,1003,128,123769
2020-04-11,5914,1134,136,128660
2020-04-12,6003,1242,146,131910
2020-04-13,6071,1354,157,135125
2020-04-14,6153,1549,166,141298
2020-04-15,6313,1756,166,149774
2020-04-16,6445,2031,168,158155
2020-04-17,6561,2358,176,166443
2020-04-18,6666,2511,180,172048
2020-04-19,6758,2663,189,176075
2020-04-20,6912,2903,196,182642
2020-04-21,7045,3136,204,190983
2020-04-22,7144,3438,206,199801
2020-04-23,7199,3674,212,207702
2020-04-24,7285,3937,218,214831
2020-04-25,7364,4084,222,219277
2020-04-26,7416,4164,224,222658
2020-04-27,7457,4362,225,230412
2020-04-28,7517,4526,229,239153
2020-04-29,7592,4716,234,246475
2020-04-30,7695,4918,241,253871
2020-05-01,7750,5043,249,258368
2020-05-02,7768,5138,250,262253
2020-05-03,7794,5265,253,266134
2020-05-04,7832,5429,258,273890
2020-05-05,7909,5600,261,283273
2020-05-06,7988,5779,264,291325
2020-05-07,8045,5947,268,298924
2020-05-08,8091,6017,273,303434
2020-05-09,8109,6090,276,307222
2020-05-10,8137,6142,279,311274
2020-05-11,8191,6271,281,319083
2020-05-12,8236,6361,284,327838
2020-05-13,8286,6496,288,335525
2020-05-14,8368,6591,291,342427
2020-05-15,8423,6671,293,349217
2020-05-16,8473,6713,294,353414
2020-05-17,8493,6761,296,356967
2020-05-18,8604,6851,299,364425
2020-05-19,8666,6903,301,372761
2020-05-20,8740,6990,306,380279
2020-05-21,8773,7078,309,387569
2020-05-22,8832,7138,311,395317
2020-05-23,8909,7177,312,400376
2020-05-24,8974,7207,313,404225
2020-05-25,9021,7291,314,411733
2020-05-26,9069,7366,315,418974
2020-05-27,9106,7447,315,425820
2020-05-28,9160,7493,317,431833
2020-05-29,9217,7555,317,437946
2020-05-30,9251,7592,317,441494
2020-05-31,9289,7611,317,443635
2020-06-01,9323,7683,319,449356
2020-06-02,9385,7753,320,455834
2020-06-03,9459,7829,321,461147
2020-06-04,9518,7880,324,466158
2020-06-05,9553,7946,324,470331
2020-06-06,9591,7966,324,472481
2020-06-07,9652,7987,325,474608
2020-06-08,9721,8037,325,479292
2020-06-09,9775,8072,326,483844
2020-06-10,9848,8144,327,487912
2020-06-11,9910,8185,328,491651
2020-06-12,9962,8240,329,495377
2020-06-13,10015,8260,329,497029
2020-06-14,10048,8271,330,498150
2020-06-15,10088,8311,331,501823
2020-06-16,10135,8364,332,505846
2020-06-17,10186,8419,333,509882
2020-06-18,10304,8469,335,514285
2020-06-19,10430,8522,336,517859
2020-06-20,10472,8536,337,519558
2020-06-21,10522,8553,338,520871
2020-06-22,10586,8607,339,524781
2020-06-23,10675,8658,339,529348
2020-06-24,10802,8736,343,533635
2020-06-25,10895,8818,343,537682
2020-06-26,11063,8893,344,542215
2020-06-27,11323,8913,345,544769
2020-06-28,11628,8930,345,547192
2020-06-29,11829,8981,345,551677
2020-06-30,11978,9038,346,556089
2020-07-01,12069,9157,346,560682
2020-07-02,12201,9246,347,565347
2020-07-03,12340,9330,347,570456
2020-07-04,12461,9372,349,572143
2020-07-05,12536,9398,351,573667
2020-07-06,12587,9435,352,575381
2020-07-07,12705,9535,352,579540
2020-07-08,12834,9771,352,584946
2020-07-09,12939,9902,353,589628
2020-07-10,13080,10048,353,594961
2020-07-11,13133,10186,353,597282
2020-07-12,13192,10360,354,599069
2020-07-13,13256,10625,355,603493
2020-07-14,13360,10780,357,608295
2020-07-15,13494,10891,357,612989
2020-07-16,13631,11021,357,617719
2020-07-17,13759,11196,359,622446
2020-07-18,13871,11267,359,624780
2020-07-19,13962,11313,360,626610
2020-07-20,14131,11426,360,632395
2020-07-21,14338,11531,362,638484
2020-07-22,14583,11633,364,645093
2020-07-23,14814,11718,365,650650
2020-07-24,15092,11792,368,656888
2020-07-25,15224,11849,370,660225
2020-07-26,15338,11903,371,662006
2020-07-27,15532,12022,373,668533
2020-07-28,15810,12128,375,676410
2020-07-29,16084,12243,377,683902
2020-07-30,16338,12385,379,691512
2020-07-31,16569,12561,381,699690
2020-08-01,16692,12632,383,704393
2020-08-02,16793,12717,385,707040
2020-08-03,17001,12927,387,714759
2020-08-04,17288,13141,389,723152
2020-08-05,17528,13324,390,730078
2020-08-06,17743,13539,391,737427
2020-08-07,18066,13790,391,746613
2020-08-08,18239,13902,391,752101
2020-08-09,18361,13958,392,755016
2020-08-10,18501,14250,392,761466
2020-08-11,18789,14496,394,769920
2020-08-12,19078,14719,394,777678
2020-08-13,19407,14933,395,784871
2020-08-14,19698,15161,397,792664
2020-08-15,19895,15263,399,797606
2020-08-16,20016,15337,401,800478
2020-08-17,20207,15604,405,807670
2020-08-18,20488,15866,405,815269
2020-08-19,20801,16126,408,822815
2020-08-20,21047,16354,411,831033
2020-08-21,21551,16600,414,840715
2020-08-22,21785,16714,414,845828
2020-08-23,21921,16797,417,848225
2020-08-24,22180,17066,418,855621
2020-08-25,22544,17327,420,864378
2020-08-26,22939,17587,421,873232
2020-08-27,23289,17894,421,882425
2020-08-28,23774,18144,421,893215
2020-08-29,24094,18263,424,899783
2020-08-30,24368,18349,425,903727
2020-08-31,24624,18662,426,913080
2020-09-01,25123,18936,427,924205
2020-09-02,25768,19241,427,936003
2020-09-03,26443,19583,430,947540
2020-09-04,27240,19906,433,961150
2020-09-05,27745,20060,438,968616
2020-09-06,28155,20173,441,973151
2020-09-07,28716,20572,443,984728
2020-09-08,29877,20889,448,1000823
2020-09-09,31035,21265,451,1016297
2020-09-10,32417,21796,456,1032595
2020-09-11,33860,22633,459,1051787
2020-09-12,35397,23324,465,1064844
2020-09-13,36188,23991,470,1071934
2020-09-14,37216,24952,476,1089427
2020-09-15,38889,25474,486,1109730
2020-09-16,41022,25809,493,1130190
2020-09-17,44147,26625,500,1153618
2020-09-18,46255,27617,512,1175188
2020-09-19,48301,28623,520,1190238
2020-09-20,49285,29776,526,1200417
2020-09-21,50761,31287,541,1219822
2020-09-22,53149,32211,551,1242203
2020-09-23,55455,32945,573,1264576
2020-09-24,58363,34340,583,1287723
2020-09-25,61310,36107,593,1310847
2020-09-26,63291,37637,609,1326232
2020-09-27,64595,39575,625,1336692
2020-09-28,65879,41366,636,1348910
2020-09-29,67842,42918,657,1367213
2020-09-30,70768,44030,674,1388293
2020-10-01,74264,45721,703,1412199
2020-10-02,78058,47839,724,1435829
2020-10-03,80613,49755,737,1451030
2020-10-04,82453,51747,769,1458796
2020-10-05,85571,54405,797,1476512
2020-10-06,90031,56133,831,1499500
2020-10-07,95369,57363,880,1523511
2020-10-08,100763,58585,906,1548569
2020-10-09,109379,60663,966,1576303
2020-10-10,114015,63173,1017,1594372
2020-10-11,117119,66002,1059,1605874
2020-10-12,121428,69556,1127,1627903
2020-10-13,129752,71917,1175,1659483
2020-10-14,139296,73545,1238,1694318
2020-10-15,149018,76649,1291,1729113
2020-10-16,160122,81574,1366,1767832
2020-10-17,168835,85680,1444,1797108
2020-10-18,173894,90270,1520,1814347
2020-10-19,181970,95325,1622,1845462
2020-10-20,193954,99187,1719,1886015
2020-10-21,208922,102050,1844,1931193
2020-10-22,223078,105654,1954,1977583
2020-10-23,238332,112416,2067,2022807
2020-10-24,250803,118963,2192,2061997
2020-10-25,258104,127290,2322,2083558
2020-10-26,268377,128048,2470,2118913
2020-10-27,284040,128318,2629,2166039
2020-10-28,297017,128500,2763,2203719
2020-10-29,310068,128628,2862,2203719
